route_id,sample_count,mean_speed_mps,median_speed_mps,max_speed_mps,mean_speed_kmh,median_speed_kmh,max_speed_kmh
31817,95,0.0,0.0,0.0,0.0,0.0,0.0
31818,94,0.0,0.0,0.0,0.0,0.0,0.0
31819,423,0.0,0.0,0.0,0.0,0.0,0.0
31821,108,0.0,0.0,0.0,0.0,0.0,0.0
31822,67,0.0,0.0,0.0,0.0,0.0,0.0
32799,754,0.0,0.0,0.0,0.0,0.0,0.0
33292,374,0.0,0.0,0.0,0.0,0.0,0.0
33538,558,0.0,0.0,0.0,0.0,0.0,0.0
34042,86,0.0,0.0,0.0,0.0,0.0,0.0
34043,102,0.0,0.0,0.0,0.0,0.0,0.0
34540,93,0.0,0.0,0.0,0.0,0.0,0.0
34541,95,0.0,0.0,0.0,0.0,0.0,0.0
34542,893,0.0,0.0,0.0,0.0,0.0,0.0
34543,420,0.0,0.0,0.0,0.0,0.0,0.0
36799,253,0.0,0.0,0.0,0.0,0.0,0.0
37807,1947,0.0,0.0,0.0,0.0,0.0,0.0
37808,1397,0.0,0.0,0.0,0.0,0.0,0.0
37809,1173,0.0,0.0,0.0,0.0,0.0,0.0
37810,1884,0.0,0.0,0.0,0.0,0.0,0.0
38311,1305,0.0,0.0,0.0,0.0,0.0,0.0
39304,188,0.0,0.0,0.0,0.0,0.0,0.0
39307,245,0.0,0.0,0.0,0.0,0.0,0.0
40855,468,0.0,0.0,0.0,0.0,0.0,0.0
46099,312,0.0,0.0,0.0,0.0,0.0,0.0
46604,1507,0.0,0.0,0.0,0.0,0.0,0.0
48855,188,0.0,0.0,0.0,0.0,0.0,0.0
6612,1395,0.0,0.0,0.0,0.0,0.0,0.0
6613,1499,0.0,0.0,0.0,0.0,0.0,0.0
6614,1509,0.0,0.0,0.0,0.0,0.0,0.0
6615,1069,0.0,0.0,0.0,0.0,0.0,0.0
6616,934,0.0,0.0,0.0,0.0,0.0,0.0
6617,2070,0.0,0.0,0.0,0.0,0.0,0.0
