route_id,stop_id
6633,1132
6633,1133
6633,1134
6633,1135
6633,1136
6633,1137
6633,1138
6633,1139
6633,12665
6633,1650
6633,1736
6623,11251
6623,2239
6623,12116
6623,2241
6623,747
6623,749
6623,12911
6623,752
6623,753
6623,754
6623,755
6623,758
6623,759
6623,760
6623,761
6623,455
6623,457
6623,458
6623,459
6623,460
6623,461
6623,462
6623,463
6623,12708
6623,12709
6623,12711
6623,485
6623,11352
6623,11227
6623,12026
6623,628
6730,2016
6730,10330
6730,9989
6730,2028
6730,2032
6730,2035
6730,1320
6730,1324
6730,1327
6730,1330
6730,7027
6730,7036
6730,7039
6730,7040
6730,7042
6730,7043
6730,11268
6730,6531
6730,6532
6730,10402
6730,6682
6730,10040
6730,11707
6730,8650
6629,1709
6629,1710
6629,1711
6629,1712
6629,1713
6629,1714
6629,1715
6629,1716
6629,10815
6629,1719
6629,1720
6629,1721
6629,11095
6629,1724
6629,1725
6629,1726
6629,1727
6629,1728
6629,11092
6629,11093
6629,1731
6629,11184
6629,11180
6629,1735
6629,1736
6682,12736
6682,4055
6682,4056
6682,4057
6682,4058
6682,4059
6682,4060
6682,4830
6682,4511
6682,4512
6682,4513
6682,4514
6682,4515
6682,4516
6682,4517
6682,4518
6682,4519
6682,4520
6682,4427
6682,4429
6682,4430
6682,11367
6682,4478
6682,11678
6682,4485
6682,11723
6682,4487
6682,4488
6682,9543
6682,11645
6682,11676
6682,9487
6682,981
6682,12896
6682,982
6682,983
6682,9112
6682,985
6682,12596
6682,12832
6682,10882
6682,4494
6682,11706
6682,4496
6682,4497
6682,9056
6682,8643
6682,1487
6682,4463
6682,4464
6682,4465
6682,4466
6682,4467
6682,4468
6682,4456
6682,9944
6682,4500
6682,4501
6682,4502
6682,4503
6682,4504
6682,4505
6682,4506
6682,4191
6682,4507
6682,4508
6682,4509
6682,4510
6682,4224
6682,4225
6682,4011
6682,4012
6682,4013
6682,4014
6682,4015
6682,4016
6779,11410
6779,11548
6779,10228
6779,11235
6779,11236
6779,4837
6779,4838
6779,8627
6779,8638
6779,4707
6779,4708
6779,4709
6779,13101
6779,4609
6779,8629
6779,4611
6779,10328
6779,11547
6779,11233
6779,11546
6779,11549
37807,12681
37807,11438
37807,2737
37807,2738
37807,2739
37807,955
37807,959
37807,1387
37807,1391
37807,1393
37807,1860
37807,1863
37807,1865
37807,1870
37807,1873
37807,3129
6636,12405
6636,2524
6636,2718
6636,2719
6636,2720
6636,2020
