route_id,route_short_name,route_long_name,mode,bus_subtype,days_active,mean_daily_records,cv_daily_records,is_persistent,stability_score
6661,153,Coquitlam Central Station/Braid Station,Bus,Regular Bus,5,6920.8,0.1341,True,80.2
30037,171,Coquitlam Central Station/Fremont,Bus,Regular Bus,5,3902.8,0.1346,True,80.13
30040,174,Coquitlam Central Station/Rocklin,Bus,Regular Bus,5,6216.4,0.135,True,80.07
6650,129,Patterson Station/Holdom Station,Bus,Regular Bus,5,8033.2,0.1378,True,79.66
6700,312,112 Street,Bus,Regular Bus,5,8052.4,0.138,True,79.63
6762,881,Carson Graham School Special,Bus,Regular Bus,4,148.5,0.0846,True,79.51
6761,880,Windsor School Special,Bus,Regular Bus,4,47.2,0.0853,True,79.41
34541,722,Meadowtown/Bonson,Bus,Regular Bus,5,2401.0,0.1408,True,79.21
29039,864,Lord Tweedsmuir School Special,Bus,Regular Bus,4,89.2,0.0875,True,79.08
6818,371,Surrey Central Station/Scott Rd Station,Bus,Regular Bus,5,4517.6,0.1424,True,78.98
22639,227,Lynn Valley/Phibbs Exchange,Bus,Regular Bus,5,3479.8,0.1448,True,78.62
8289,865,Samuel Robertson School Special,Bus,Regular Bus,4,86.0,0.0911,True,78.55
30047,184,Moody Centre Station/Noons Creek,Bus,Regular Bus,5,3569.6,0.1465,True,78.37
30036,170,Port Coquitlam Station/Port Coquitlam South,Bus,Regular Bus,5,2991.2,0.1467,True,78.34
6723,402,Brighouse Station/Two Road,Bus,Regular Bus,5,6665.8,0.147,True,78.3
6713,340,Scottsdale/22nd St Station,Bus,Regular Bus,5,8914.6,0.1474,True,78.24
30038,172,Coquitlam Central Station/Riverside,Bus,Regular Bus,5,5301.0,0.15,True,77.86
30049,186,Coquitlam Central Station/Hampton Park,Bus,Regular Bus,5,4499.4,0.1505,True,77.78
6701,314,Surrey Central Station/Sunbury,Bus,Regular Bus,5,3715.4,0.1511,True,77.69
6673,211,Seymour/Phibbs Exchange/Burrard Station,Bus,Regular Bus,5,8633.4,0.1512,True,77.68
6804,748,Thornhill/Haney Place,Bus,Regular Bus,5,942.8,0.1519,True,77.58
36799,249,Lonsdale Quay/Delbrook,Bus,Regular Bus,5,4046.2,0.1533,True,77.37
6662,128,8th Avenue,Bus,Regular Bus,5,6919.8,0.1558,True,77.0
30048,185,Coquitlam Central Station/Lansdowne,Bus,Regular Bus,5,2856.4,0.1558,True,77.0
6638,084,4th Avenue Express,Bus,Express,5,10540.4,0.1571,True,76.81
31822,741,Rock Ridge/Haney Place,Bus,Regular Bus,5,2489.2,0.1574,True,76.76
30050,187,Coquitlam Central Station/Parkway,Bus,Regular Bus,5,4337.8,0.1576,True,76.73
6837,N24,Downtown/Lynn Valley,Bus,NightBus,5,1224.6,0.1581,True,76.66
6685,246,Highland/Downtown,Bus,Regular Bus,5,7052.6,0.1584,True,76.62
6806,148,Royal Oak Station/Edmonds Station,Bus,Regular Bus,5,4221.8,0.1614,True,76.17
6827,412,Bridgeport Station/Sea Island South,Bus,Regular Bus,5,2581.6,0.1643,True,75.75
37810,R4,41st Avenue,Bus,RapidBus,5,37778.2,0.1702,True,74.87
6641,099,Broadway B-Line,Bus,B-Line,5,42874.0,0.171,True,74.76
6689,252,Inglewood/Park Royal,Bus,Regular Bus,5,2280.8,0.1713,True,74.71
6691,254,British Properties/Park Royal/Van,Bus,Regular Bus,5,2668.4,0.1713,True,74.71
31818,362,Seaside/White Rock Centre,Bus,Regular Bus,5,1509.8,0.1769,True,73.89
6805,749,Ruskin/Haney Place,Bus,Regular Bus,5,946.8,0.1778,True,73.75
11201,033,16 & 33rd Avenue,Bus,Regular Bus,5,14251.6,0.1804,True,73.37
6644,104,22nd St Station/Annacis Island,Bus,Regular Bus,5,7067.2,0.1816,True,73.19
6657,144,SFU Exchange/Metrotown Station,Bus,Regular Bus,5,13209.4,0.1824,True,73.07
6799,743,Haney Place/Meadowtown,Bus,Regular Bus,5,3652.2,0.1885,True,72.17
6690,253,Caulfeild/Vancouver/Park Royal,Bus,Regular Bus,5,3200.6,0.1929,True,71.52
6800,744,Haney Place/Meadowtown,Bus,Regular Bus,5,3545.0,0.1929,True,71.52
6636,049,49th Avenue,Bus,Regular Bus,5,39148.4,0.1948,True,71.24
6648,116,North Fraser Way,Bus,Regular Bus,5,9777.2,0.1965,True,70.99
6709,326,Guildford/Surrey Central Station,Bus,Regular Bus,5,4946.8,0.2042,True,69.86
20667,555,Port Mann Express,Bus,Express,5,6917.6,0.2053,True,69.69
31816,360,Ocean Park/Peace Arch Hospital,Bus,Regular Bus,5,2760.0,0.2186,True,67.73
29040,840,Brookswood School Special,Bus,Regular Bus,4,65.8,0.1718,True,66.64
34042,745,Haney Place/Cottonwood,Bus,Regular Bus,5,2598.6,0.2345,True,65.38
6748,640,River Road,Bus,Regular Bus,5,15365.6,0.2462,True,63.66
31817,361,Ocean Park/White Rock Centre,Bus,Regular Bus,5,2790.2,0.2481,True,63.37
34043,746,Haney Place/Albion,Bus,Regular Bus,5,2916.4,0.2539,True,62.52
13684,414,Richmond Oval/Brighouse Station,Bus,Regular Bus,5,1912.2,0.2654,True,60.82
39307,245,Phibbs Exchange/Capilano University,Bus,Regular Bus,5,5858.2,0.2678,True,60.47
6840,N8,Fraser,Bus,NightBus,5,1195.0,0.2802,True,58.64
6834,N19,Kingsway,Bus,NightBus,5,2292.2,0.3156,True,53.41
6835,N20,Victoria,Bus,NightBus,5,1543.8,0.3241,True,52.16
6719,393,128 Street,Bus,Regular Bus,5,950.2,0.3336,True,50.75
6721,395,Langley Centre/King George Station,Bus,Regular Bus,5,2028.8,0.3477,True,48.67
6743,603,Bridgeport Station/Beach Grove,Bus,Regular Bus,5,1232.6,0.3511,True,48.17
6744,604,Bridgeport Station/English Bluff,Bus,Regular Bus,5,1141.8,0.3577,True,47.2
6717,354,White Rock South/Bridgeport Station,Bus,Regular Bus,5,2227.6,0.3634,True,46.35
6699,311,Scottsdale/Bridgeport Station,Bus,Regular Bus,5,2195.4,0.366,True,45.97
6720,394,White Rock Centre/King George Station,Bus,Regular Bus,5,2796.0,0.3706,True,45.29
6686,247,Grouse Mountain/Downtown,Bus,Regular Bus,5,751.4,0.3736,True,44.85
6745,606,Ladner Ring,Bus,Regular Bus,5,381.0,0.3783,True,44.15
