route_rank,route_rank_pct,route_id,route_short_name,route_long_name,mode,bus_subtype,total_records,cumulative_records,cumulative_pct
93,41.333333333333336,6747,620,Tsawwassen Ferry/Bridgeport Station Exp,Bus,Regular Bus,35329,7170233,77.03702040372534
94,41.77777777777778,6685,246,Highland/Downtown,Bus,Regular Bus,35263,7205496,77.41588625794465
95,42.22222222222222,6658,145,SFU Exchange/Production Station,Bus,Regular Bus,35098,7240594,77.79297935131136
96,42.66666666666667,6679,232,Grouse Mountain/Phibbs Exchange,Bus,Regular Bus,34739,7275333,78.16621534682294
97,43.111111111111114,6635,044,UBC Exchange/Downtown Express,Bus,Express,34721,7310054,78.5392579502415
98,43.55555555555555,6680,236,Grouse Mountain/Lonsdale Quay,Bus,Regular Bus,34694,7344748,78.91201046552055
99,44.0,6661,153,Coquitlam Central Station/Braid Station,Bus,Regular Bus,34604,7379352,79.28379602033453
100,44.44444444444444,6662,128,8th Avenue,Bus,Regular Bus,34599,7413951,79.65552785512267
101,44.888888888888886,20667,555,Port Mann Express,Bus,Express,34588,7448539,80.02714150585398
102,45.33333333333333,8290,341,Guildford/Newton Exchange,Bus,Regular Bus,34439,7482978,80.39715429981533
103,45.77777777777778,17707,337,Fraser Heights/Surrey Central Station,Bus,Regular Bus,34296,7517274,80.76563070103774
104,46.22222222222222,6664,156,Braid Station/Lougheed Station,Bus,Regular Bus,34017,7551291,81.13110952481844
105,46.666666666666664,12940,595,208 Street,Bus,Regular Bus,33901,7585192,81.49534204399971
106,47.11111111111111,6647,112,12th Street,Bus,Regular Bus,33867,7619059,81.85920926700528
107,47.55555555555556,6676,228,Grand Blvd,Bus,Regular Bus,33478,7652537,82.21889707200074
108,48.0,6723,402,Brighouse Station/Two Road,Bus,Regular Bus,33329,7685866,82.57698402022623
109,48.44444444444444,6629,027,Rupert,Bus,Regular Bus,32419,7718285,82.92529392374936
110,48.888888888888886,6654,136,Lougheed Station/Brentwood Station,Bus,Regular Bus,31307,7749592,83.2616564935263
111,49.333333333333336,6817,147,Metrotown Station/Edmonds Station,Bus,Regular Bus,31186,7780778,83.59671903867799
112,49.77777777777778,30040,174,Coquitlam Central Station/Rocklin,Bus,Regular Bus,31082,7811860,83.93066420729227
113,50.22222222222222,33292,133,Holdom Station/Edmonds Station,Bus,Regular Bus,30936,7842796,84.26304075115209
114,50.66666666666667,30039,173,Coquitlam Central Station/Cedar,Bus,Regular Bus,30901,7873697,84.59504125483105
115,51.11111111111111,6677,229,Lonsdale Ave,Bus,Regular Bus,30596,7904293,84.92376483693394
116,51.55555555555556,6663,155,6th Avenue,Bus,Regular Bus,30059,7934352,85.24671888826192
117,52.0,6652,134,Lake City Station/Brentwood Station,Bus,Regular Bus,29886,7964238,85.56781422669593
118,52.44444444444445,6702,316,116 Street,Bus,Regular Bus,29620,7993858,85.8860516597554
119,52.888888888888886,39307,245,Phibbs Exchange/Capilano University,Bus,Regular Bus,29291,8023149,86.20075431511479
120,53.333333333333336,6665,157,Burquitlam Station/Lougheed Station,Bus,Regular Bus,29180,8052329,86.5142643859006
121,53.77777777777778,31819,363,Southpoint/Peace Arch Hospital,Bus,Regular Bus,27001,8079330,86.80436326942656
122,54.22222222222223,6725,404,Brighouse Station/Four Road,Bus,Regular Bus,26752,8106082,87.09178689566582
123,54.666666666666664,40855,350,White Rock Centre/Crescent Beach,Bus,Regular Bus,26572,8132654,87.37727660097495
124,55.111111111111114,30038,172,Coquitlam Central Station/Riverside,Bus,Regular Bus,26505,8159159,87.66204645793786
125,55.55555555555556,33538,068,UBC Exchange/Wesbrook Village,Bus,Regular Bus,25855,8185014,87.93983271154194
126,56.00000000000001,6678,230,Lonsdale Ave,Bus,Regular Bus,25285,8210299,88.21149488220058
127,56.44444444444444,6709,326,Guildford/Surrey Central Station,Bus,Regular Bus,24734,8235033,88.47723710601197
128,56.888888888888886,6668,169,Coquitlam Central Station/Braid Station,Bus,Regular Bus,24215,8259248,88.73740319114144
129,57.333333333333336,6659,151,Como Lake Ave,Bus,Regular Bus,24157,8283405,88.99694612397121
130,57.77777777777777,6818,371,Surrey Central Station/Scott Rd Station,Bus,Regular Bus,22588,8305993,89.23963171269327
131,58.22222222222222,30045,182,Moody Centre Station/Belcarra,Bus,Regular Bus,22512,8328505,89.4815007570226
132,58.666666666666664,30049,186,Coquitlam Central Station/Hampton Park,Bus,Regular Bus,22497,8351002,89.72320864127443
133,59.111111111111114,30050,187,Coquitlam Central Station/Parkway,Bus,Regular Bus,21689,8372691,89.95623536935096
134,59.55555555555555,6806,148,Royal Oak Station/Edmonds Station,Bus,Regular Bus,21109,8393800,90.18303057443039
135,60.0,6796,105,New West Station/Uptown,Bus,Regular Bus,20512,8414312,90.40341160842485
136,60.44444444444444,36799,249,Lonsdale Quay/Delbrook,Bus,Regular Bus,20231,8434543,90.62077357696727
137,60.88888888888889,30037,171,Coquitlam Central Station/Fremont,Bus,Regular Bus,19514,8454057,90.83043209380463
138,61.33333333333333,6631,029,Elliott/29th Avenue Station,Bus,Regular Bus,19106,8473163,91.03570705653367
139,61.77777777777778,6701,314,Surrey Central Station/Sunbury,Bus,Regular Bus,18577,8491740,91.23529844052914
140,62.22222222222222,39304,031,Metrotown Station/River District,Bus,Regular Bus,18520,8510260,91.43427741623007
141,62.66666666666667,6674,212,Dollarton Hwy,Bus,Regular Bus,18373,8528633,91.63167702317138
142,63.11111111111111,6799,743,Haney Place/Meadowtown,Bus,Regular Bus,18261,8546894,91.82787330153394
143,63.55555555555556,46099,102,New West Station/Victoria  Hill,Bus,Regular Bus,18012,8564906,92.02139432260982
144,64.0,16719,109,New West Station/Lougheed Station,Bus,Regular Bus,17935,8582841,92.21408805528779
145,64.44444444444444,30047,184,Moody Centre Station/Noons Creek,Bus,Regular Bus,17848,8600689,92.4058470595162
146,64.88888888888889,6800,744,Haney Place/Meadowtown,Bus,Regular Bus,17725,8618414,92.59628455110902
147,65.33333333333333,30584,191,Coquitlam Central Station/Princeton,Bus,Regular Bus,17530,8635944,92.78462696169419
148,65.77777777777779,6780,215,Indian River/Phibbs Exchange,Bus,Regular Bus,17484,8653428,92.97247514804164
