route_id,route_short_name,route_long_name,route_type,direction_id,shape_id,route_segment_km,segment_start_km,segment_end_km,stop_before_id,stop_before_name,stop_before_dist_km,stop_after_id,stop_after_name,stop_after_dist_km,bunching_events,severe_events,high_events,moderate_events,avg_gap_km,median_gap_km,closest_gap_km,vehicles_involved,active_timestamps
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,11.0,11.0,11.5,11427,Southbound Granville St @ Davie St,10.97,4887,Southbound Granville St @ W 5th Ave,12.42,35,2,11,22,0.281,0.288,0.075,9,35
6641,099,Broadway B-Line,B-Line,1,312530,8.5,8.5,9.0,11113,Westbound W Broadway @ Macdonald St,7.6,361,Southbound Alma St @ W 10 Ave,9.03,35,16,4,15,0.225,0.2,0.048,9,34
6641,099,Broadway B-Line,B-Line,0,312527,10.5,10.5,11.0,11357,Broadway-City Hall Station @ Bay 1,10.09,887,Eastbound E Broadway @ Kingsway,11.16,34,0,6,28,0.293,0.281,0.14,9,34
6624,019,Kingsway,Regular Bus,1,312413,9.0,9.0,9.5,1208,Westbound Kingsway @ E 12 Ave,8.68,179,Northbound Main St @ E 2nd Ave,9.79,34,4,9,21,0.273,0.301,0.016,6,34
37810,R4,41st Avenue,RapidBus,1,313453,5.0,5.0,5.5,718,Westbound E 41 Ave @ Fraser St,4.76,11632,Westbound E 41 Ave @ Main St,5.56,34,10,10,14,0.208,0.181,0.048,12,30
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,15.5,15.5,16.0,956,Eastbound E Hastings St @ Kamloops St,15.19,1047,Southbound Renfrew St @ E Georgia St,16.28,34,10,6,18,0.251,0.297,0.05,8,31
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,17.0,17.0,17.5,1050,Southbound Renfrew St @ Kitchener St,16.93,1052,Southbound Renfrew St @ E 4th Ave,17.54,33,4,19,10,0.209,0.198,0.023,6,32
37810,R4,41st Avenue,RapidBus,0,313452,17.5,17.5,18.0,1133,Eastbound E 41 Ave @ Clarendon St,17.19,1137,Eastbound E 41 Ave @ Rupert St,18.1,33,4,20,9,0.186,0.164,0.052,10,33
6624,019,Kingsway,Regular Bus,0,312403,4.0,4.0,4.5,21,Eastbound E Pender St @ Carrall St,3.76,234,Southbound Main St @ National Ave,4.72,32,8,14,10,0.223,0.208,0.003,8,31
6641,099,Broadway B-Line,B-Line,1,312530,6.0,6.0,6.5,545,Westbound W Broadway @ Granville St,5.57,11422,Westbound W Broadway @ Arbutus St,6.62,32,0,4,28,0.357,0.349,0.134,6,32
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,7.5,7.5,8.0,11427,Southbound Granville St @ Davie St,7.44,542,Westbound W 5th Ave Offramp @ Granville St,8.95,32,0,19,13,0.253,0.234,0.102,3,24
6624,019,Kingsway,Regular Bus,1,312413,3.0,3.0,3.5,13125,Westbound Kingsway @ Aberdeen St,2.69,1195,Westbound Kingsway @ Rupert St,3.87,32,6,11,15,0.251,0.248,0.068,5,32
37810,R4,41st Avenue,RapidBus,1,313453,8.0,8.0,8.5,195,Westbound W 41 Ave @ Oak St,7.52,12632,Westbound W 41 Ave @ East Blvd,9.46,32,15,7,10,0.192,0.132,0.055,9,32
6641,099,Broadway B-Line,B-Line,0,312527,11.5,11.5,12.0,887,Eastbound E Broadway @ Kingsway,11.16,10620,Eastbound E Broadway  @ Fraser St,12.01,32,0,13,19,0.259,0.282,0.104,12,31
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,11.0,11.0,11.5,11429,Northbound Granville St @ Davie St,10.74,11525,Northbound Granville St @ Dunsmuir St,11.66,31,0,14,17,0.278,0.337,0.163,5,23
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,10.0,10.0,10.5,11526,Southbound Granville St @ W Pender St,9.84,11474,Southbound Granville St @ Nelson St,10.64,31,0,18,13,0.265,0.174,0.163,6,30
