route_id,direction_id,shape_id,trip_count
6633,0,317488,18
6633,0,312482,10
6633,0,317486,10
6633,1,312483,225
6633,1,317492,225
6633,1,317491,12
6633,1,312484,12
6633,1,312485,10
6633,1,317490,10
6633,1,317489,3
6633,1,312486,3
6635,0,312489,51
6635,0,317496,51
6635,1,312491,54
6635,1,317498,54
6636,0,317500,312
6636,0,312498,312
6636,0,317502,15
6636,0,312493,15
6636,0,312497,3
6636,0,317501,3
6636,0,314710,3
6636,0,317499,3
6636,1,312507,316
6636,1,317503,316
6636,1,312506,11
6636,1,317504,11
6636,1,317505,1
6636,1,312499,1
6636,1,312500,1
6636,1,317506,1
6637,0,317508,228
6637,0,312510,184
6637,0,312509,38
6637,0,317507,13
6637,1,317510,204
6637,1,312516,179
6637,1,317512,14
6637,1,312513,14
6637,1,317514,12
6637,1,312511,12
6637,1,312515,10
6637,1,312514,5
6637,1,317511,5
6637,1,317509,4
6637,1,317513,4
6637,1,312512,4
6638,0,317519,136
6638,0,312521,136
6638,1,312522,135
6638,1,317520,135
6641,0,312527,355
6641,0,317522,355
6641,0,317524,54
6641,0,312525,54
6641,0,317525,48
6641,0,312524,48
6641,0,317526,18
6641,0,312523,18
6641,0,317523,2
6641,0,312526,2
6641,0,314726,1
6641,0,317521,1
6641,1,312530,396
6641,1,317528,396
6641,1,317529,80
6641,1,312529,80
6641,1,317530,2
6641,1,312528,2
6641,1,317527,1
6641,1,314727,1
6642,0,312532,216
6642,0,317532,216
6642,0,312531,67
6642,0,317533,67
6642,1,312538,193
6642,1,317534,193
6642,1,312537,66
6642,1,317535,66
6642,1,317536,16
6642,1,312536,16
6642,1,312535,6
6642,1,317537,6
6643,0,312539,108
6643,0,317540,108
6643,1,312542,110
6643,1,317541,110
6643,1,317542,1
6643,1,312541,1
6644,0,312548,125
6644,0,317548,125
6644,0,312549,8
6644,0,317547,8
6644,1,312551,123
6644,1,317551,123
6644,1,317550,7
6644,1,312552,7
6645,0,312555,263
6645,0,317555,263
6645,1,312556,261
6645,1,317556,261
6646,0,317559,115
6646,0,312560,115
6646,0,317560,1
6646,0,312559,1
6646,1,317562,116
6646,1,312564,114
6646,1,312562,2
6646,1,317564,2
6646,1,312561,1
6646,1,317563,1
6646,1,317565,1
6646,1,312563,1
6647,0,317566,186
6647,0,312566,186
6647,1,317567,185
6647,1,312568,184
6647,1,317568,1
6647,1,312567,1
6648,0,317571,122
6648,0,312569,121
6648,0,317569,5
6648,0,312571,5
6648,1,317573,104
6648,1,312573,104
6648,1,317572,12
6648,1,312574,12
6648,1,312572,12
6648,1,317574,12
6649,0,317577,203
6649,0,312580,203
6649,0,317580,17
6649,0,312577,17
6649,0,317578,8
6649,0,312579,8
6649,0,317579,1
6649,0,312578,1
6649,1,312584,209
6649,1,317582,209
6649,1,317585,16
6649,1,312581,16
6649,1,317581,2
6649,1,312585,2
6650,0,312591,116
6650,0,317590,116
6650,0,317591,3
6650,0,312590,3
6650,1,312592,121
6650,1,317592,121
6651,0,318491,197
6651,0,312594,197
6651,0,317595,78
6651,0,312595,78
6651,0,312597,3
6651,0,317593,3
6651,1,312599,192
6651,1,318492,192
6651,1,317600,77
6651,1,312600,76
6651,1,317599,9
6651,1,312601,9
6651,1,317598,2
6651,1,312602,2
6652,0,317612,105
6652,0,312614,105
6652,0,312612,1
6652,0,317613,1
6652,0,317614,1
6652,0,312613,1
6652,1,317617,102
6652,1,312615,102
6652,1,317616,2
6652,1,312616,2
6652,1,312617,1
6652,1,317615,1
6654,0,317618,106
6654,0,312618,104
6654,1,317619,106
6654,1,312620,106
6654,1,312619,1
6654,1,317620,1
6656,0,312621,40
6656,0,317621,40
6656,1,312622,40
6656,1,317622,40
6657,0,317623,139
6657,0,312623,138
6657,1,317626,140
6657,1,312625,140
6657,1,317624,2
6657,1,312627,2
6657,1,317627,1
6657,1,312624,1
6658,0,317628,192
6658,0,312628,192
6658,1,317629,194
6658,1,312629,194
6659,0,317638,120
6659,0,312638,119
6659,1,317640,118
6659,1,312640,118
6659,1,312639,1
6659,1,312641,1
6659,1,317641,1
6659,1,317639,1
6660,0,317642,105
6660,0,312645,103
6660,0,317645,15
6660,0,312642,13
6660,0,312643,2
6660,0,317644,2
6660,0,317643,1
6660,0,312644,1
6660,1,317648,105
6660,1,312647,103
6660,1,317647,14
6660,1,312648,14
6660,1,317646,2
6660,1,312649,2
6661,0,317651,115
6661,0,312650,115
6661,0,312651,1
6661,0,317650,1
6661,1,317652,117
6661,1,312652,117
6662,0,317586,134
6662,0,312587,133
6662,1,312589,134
6662,1,317588,134
6662,1,312588,3
6662,1,317589,3
6663,0,312653,120
6663,0,317653,120
6663,1,312654,121
6663,1,317654,121
6664,0,317655,95
6664,0,312655,95
6664,1,312656,98
6664,1,317656,98
6665,0,312657,111
6665,0,317657,111
6665,1,312658,113
6665,1,317658,113
6666,0,317661,107
6666,0,312660,104
6666,0,312662,4
6666,0,317659,4
6666,0,317662,2
6666,0,312659,2
6666,0,312661,1
6666,0,317660,1
6666,1,317665,99
6666,1,312663,99
6666,1,317663,9
6666,1,312665,9
6666,1,312664,1
6666,1,317664,1
6667,0,312666,199
6667,0,317668,199
6667,1,317669,204
6667,1,312669,203
6668,0,312670,117
6668,0,317670,117
6668,1,317671,116
6668,1,312671,116
6672,0,312736,101
6672,0,317731,101
6672,0,312735,6
6672,0,317732,6
6672,0,312733,2
6672,0,317734,2
6672,0,312732,1
6672,0,317733,1
6672,0,317735,1
6672,0,312734,1
6672,1,317737,101
6672,1,312741,100
6672,1,317739,2
6672,1,312739,2
6672,1,317738,1
6672,1,312738,1
6672,1,312740,1
6672,1,317740,1
6673,0,317743,80
6673,0,312746,55
6673,0,312745,54
6673,0,317744,50
6673,0,317746,4
6673,0,312743,3
6673,0,317742,2
6673,0,312747,2
6673,0,317745,1
6673,0,312744,1
6673,0,317747,1
6673,0,312742,1
6673,1,317751,84
6673,1,312749,62
6673,1,312750,31
6673,1,317750,30
6673,1,312751,22
6673,1,317749,22
6673,1,317748,1
6673,1,312748,1
6673,1,312752,1
6673,1,317752,1
6674,0,317753,67
6674,0,312754,66
6674,0,312753,35
6674,0,317754,35
6674,1,317755,90
6674,1,312757,90
6674,1,312755,8
6674,1,317757,8
6674,1,312756,5
6674,1,317756,5
6675,0,312758,82
6675,0,317760,82
6675,0,317759,16
6675,0,312759,16
6675,0,312760,2
6675,0,317758,2
6675,1,312761,82
6675,1,317764,82
6675,1,312762,14
6675,1,317763,13
6675,1,312763,5
6675,1,317762,5
6676,0,312777,124
6676,0,317777,124
6676,0,317778,3
6676,0,312776,3
6676,0,317776,3
6676,0,312778,3
6676,1,317781,126
6676,1,312780,124
6676,1,317780,3
6676,1,312781,3
6676,1,312779,1
6676,1,312782,1
6676,1,317779,1
6676,1,317782,1
6677,0,317783,135
6677,0,312783,134
6677,1,312784,136
6677,1,317784,136
6678,0,312786,75
6678,0,317787,75
6678,0,317785,29
6678,0,312788,29
6678,0,312785,10
6678,0,317788,10
6678,0,317786,2
6678,0,312787,2
6678,1,317789,99
6678,1,312790,99
6678,1,317790,10
6678,1,312789,10
6679,0,317794,69
6679,0,312796,69
6679,0,317793,27
6679,0,312797,27
6679,0,317796,2
6679,0,312794,2
6679,0,312795,1
6679,0,317795,1
6679,1,317798,96
6679,1,312799,96
6680,0,317800,155
6680,0,312802,154
6680,0,317802,1
6680,0,312800,1
6680,1,312804,154
6680,1,317803,154
6680,1,312803,1
6680,1,317804,1
6682,0,317805,205
6682,0,312808,204
6682,0,312806,35
6682,0,317807,35
6682,0,312805,1
6682,0,317808,1
6682,1,312812,201
6682,1,317810,201
6682,1,317809,20
6682,1,312813,20
6682,1,317811,13
6682,1,312811,13
6682,1,317812,1
6682,1,312810,1
6683,0,312814,13
6683,0,317815,13
6683,0,317814,5
6683,0,312815,5
6683,1,317816,8
6683,1,312817,8
6683,1,317817,4
6683,1,312816,4
6685,0,317820,101
6685,0,312821,99
6685,0,317821,8
6685,0,312820,8
6685,1,317822,95
6685,1,312826,95
6685,1,312825,10
6685,1,317823,10
6685,1,317825,2
6685,1,317826,2
6685,1,312823,2
6685,1,312822,2
6685,1,312824,1
6685,1,317824,1
6686,0,317827,6
6686,0,312827,6
6686,1,317828,3
6686,1,312829,3
6686,1,317829,1
6686,1,312828,1
6687,0,317840,182
6687,0,312836,171
6687,0,312837,123
6687,0,317839,123
6687,0,312839,5
6687,0,317837,5
6687,0,317843,2
6687,0,317838,2
6687,0,312838,2
6687,0,312834,1
6687,0,317841,1
6687,0,312833,1
6687,0,312835,1
6687,0,317842,1
6687,1,317847,179
