route_id,route_short_name,route_long_name,direction_id,shape_id,scheduled_trip_count,shape_points,shape_length_km
30041,175,Coquitlam Central Station/Meridian,0,312689,14,142,8.51
30041,175,Coquitlam Central Station/Meridian,0,312690,9,142,8.51
30041,175,Coquitlam Central Station/Meridian,0,317690,9,142,8.51
30041,175,Coquitlam Central Station/Meridian,1,312692,16,176,8.16
30041,175,Coquitlam Central Station/Meridian,1,317693,16,176,8.16
30041,175,Coquitlam Central Station/Meridian,1,317692,7,176,8.16
30041,175,Coquitlam Central Station/Meridian,1,312693,7,176,8.16
30042,179,Coquitlam Central Station/Buntzen Lake,0,312694,38,285,12.07
30042,179,Coquitlam Central Station/Buntzen Lake,0,317694,38,285,12.07
30042,179,Coquitlam Central Station/Buntzen Lake,1,317695,38,293,11.9
30042,179,Coquitlam Central Station/Buntzen Lake,1,312695,38,293,11.9
30043,180,Moody Centre Station/Lougheed Station,0,312696,153,206,9.79
30043,180,Moody Centre Station/Lougheed Station,0,317696,153,206,9.79
30043,180,Moody Centre Station/Lougheed Station,1,317698,151,198,9.55
30043,180,Moody Centre Station/Lougheed Station,1,312698,151,198,9.55
30043,180,Moody Centre Station/Lougheed Station,1,317697,1,179,7.93
30043,180,Moody Centre Station/Lougheed Station,1,312699,1,179,7.93
30044,181,Moody Centre Station/Ioco,0,312701,77,174,7.4
30044,181,Moody Centre Station/Ioco,0,318506,52,312,14.37
30044,181,Moody Centre Station/Ioco,0,317700,25,174,7.4
30044,181,Moody Centre Station/Ioco,0,312700,7,438,20.1
30044,181,Moody Centre Station/Ioco,0,317701,7,438,20.1
30044,181,Moody Centre Station/Ioco,1,312703,78,158,7.16
30044,181,Moody Centre Station/Ioco,1,317703,56,294,14.32
30044,181,Moody Centre Station/Ioco,1,317702,28,158,7.16
30044,181,Moody Centre Station/Ioco,1,312702,4,294,14.32
30045,182,Moody Centre Station/Belcarra,0,312705,50,457,20.36
30045,182,Moody Centre Station/Belcarra,0,317704,50,457,20.36
30045,182,Moody Centre Station/Belcarra,0,317705,29,415,18.41
30045,182,Moody Centre Station/Belcarra,0,312704,29,415,18.41
30045,182,Moody Centre Station/Belcarra,1,312706,46,386,17.96
30045,182,Moody Centre Station/Belcarra,1,317707,46,386,17.96
30045,182,Moody Centre Station/Belcarra,1,312707,35,428,19.92
30045,182,Moody Centre Station/Belcarra,1,317706,35,428,19.92
30046,183,Moody Centre Station/Coquitlam Central Station,0,317709,141,340,13.38
30046,183,Moody Centre Station/Coquitlam Central Station,0,312708,140,340,13.38
30046,183,Moody Centre Station/Coquitlam Central Station,1,317710,138,361,13.28
30046,183,Moody Centre Station/Coquitlam Central Station,1,312710,137,361,13.28
30047,184,Moody Centre Station/Noons Creek,0,317711,110,203,6.21
30047,184,Moody Centre Station/Noons Creek,0,312711,110,203,6.21
30047,184,Moody Centre Station/Noons Creek,1,317712,115,196,5.81
30047,184,Moody Centre Station/Noons Creek,1,312712,115,196,5.81
30048,185,Coquitlam Central Station/Lansdowne,0,312713,115,154,4.49
30048,185,Coquitlam Central Station/Lansdowne,0,317713,115,154,4.49
30048,185,Coquitlam Central Station/Lansdowne,1,312714,110,154,4.41
30048,185,Coquitlam Central Station/Lansdowne,1,317714,110,154,4.41
30049,186,Coquitlam Central Station/Hampton Park,0,317715,128,178,6.57
30049,186,Coquitlam Central Station/Hampton Park,0,312715,126,178,6.57
30049,186,Coquitlam Central Station/Hampton Park,1,317716,126,161,6.46
30049,186,Coquitlam Central Station/Hampton Park,1,312716,126,161,6.46
30050,187,Coquitlam Central Station/Parkway,0,312717,120,177,6.48
30050,187,Coquitlam Central Station/Parkway,0,317717,120,177,6.48
30050,187,Coquitlam Central Station/Parkway,1,312718,120,170,6.49
30050,187,Coquitlam Central Station/Parkway,1,317718,120,170,6.49
30051,189,Coquitlam Central Station/Lafarge Park,0,317721,90,108,4.4
30051,189,Coquitlam Central Station/Lafarge Park,0,312721,90,108,4.4
30051,189,Coquitlam Central Station/Lafarge Park,1,312722,90,92,3.91
30051,189,Coquitlam Central Station/Lafarge Park,1,317722,90,92,3.91
30052,,Millennium Line,0,318372,618,545,25.53
30052,,Millennium Line,0,313360,613,545,25.53
30052,,Millennium Line,0,313361,43,37,1.6
30052,,Millennium Line,0,318371,43,37,1.6
30052,,Millennium Line,0,318373,4,363,14.48
30052,,Millennium Line,0,313359,3,363,14.48
30052,,Millennium Line,1,318378,612,545,25.53
30052,,Millennium Line,1,313364,607,545,25.53
30052,,Millennium Line,1,313366,13,486,21.9
30052,,Millennium Line,1,318376,13,486,21.9
30052,,Millennium Line,1,313367,2,363,14.48
30052,,Millennium Line,1,318375,2,363,14.48
