service_date,collection_timestamp,route_id,route_short_name,route_long_name,route_type,direction_id,shape_id,vehicle_id,next_vehicle_id,approx_shape_dist_traveled,next_shape_dist,distance_to_next_bus_km,bunching_severity,peak_period,route_segment_km
2026-05-23 00:00:00,2026-05-23 18:16:49.273336-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,11.9396,11.9902,0.0506,Severe,PM Peak,11.5
2026-05-23 00:00:00,2026-05-23 18:17:19.993383-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,11.8863,12.0419,0.1556,High,PM Peak,11.5
2026-05-23 00:00:00,2026-05-23 18:17:50.797401-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,11.9902,12.1439,0.1537,High,PM Peak,11.5
2026-05-23 00:00:00,2026-05-23 18:18:21.426972-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,11.9902,12.2406,0.2504,Moderate,PM Peak,11.5
2026-05-23 00:00:00,2026-05-23 18:18:52.006203-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,12.1439,12.2406,0.0967,Severe,PM Peak,12.0
2026-05-23 00:00:00,2026-05-23 18:19:22.754003-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,12.1439,12.2406,0.0967,Severe,PM Peak,12.0
2026-05-23 00:00:00,2026-05-23 18:19:53.309969-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,12.2406,12.3409,0.1003,High,PM Peak,12.0
2026-05-23 00:00:00,2026-05-23 18:20:54.667076-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,12.3409,12.4559,0.115,High,PM Peak,12.0
2026-05-23 00:00:00,2026-05-23 18:21:25.428917-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,12.4234,12.5324,0.109,High,PM Peak,12.0
2026-05-23 00:00:00,2026-05-23 18:21:55.995441-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,12.4559,12.5324,0.0765,Severe,PM Peak,12.0
2026-05-23 00:00:00,2026-05-23 18:22:26.576507-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,12.4801,12.5324,0.0523,Severe,PM Peak,12.0
2026-05-23 00:00:00,2026-05-23 18:22:57.153738-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,12.4803,12.5748,0.0945,Severe,PM Peak,12.0
2026-05-23 00:00:00,2026-05-23 18:23:27.870858-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,12.5324,12.8042,0.2718,Moderate,PM Peak,12.5
2026-05-23 00:00:00,2026-05-23 18:23:58.433965-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,12.5324,12.8042,0.2718,Moderate,PM Peak,12.5
2026-05-23 00:00:00,2026-05-23 18:24:59.641232-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,12.8042,12.9535,0.1493,High,PM Peak,12.5
2026-05-23 00:00:00,2026-05-23 18:25:30.516578-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,12.9535,12.9536,0.0001,Severe,PM Peak,12.5
2026-05-23 00:00:00,2026-05-23 18:27:34.256568-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,13.1985,13.453,0.2545,Moderate,PM Peak,13.0
2026-05-23 00:00:00,2026-05-23 18:28:04.872261-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,13.2908,13.6109,0.3201,Moderate,PM Peak,13.0
2026-05-23 00:00:00,2026-05-23 18:28:35.461058-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,13.453,13.7403,0.2873,Moderate,PM Peak,13.0
2026-05-23 00:00:00,2026-05-23 18:29:06.025495-07,6614,004,Powell/UBC Exchange,Regular Bus,0,312231,2226,2121,13.453,13.8804,0.4274,Moderate,PM Peak,13.0
2026-05-23 00:00:00,2026-05-23 22:17:20.956158-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312238,2186,2208,1.877,2.3694,0.4924,Moderate,Off Peak,1.5
2026-05-23 00:00:00,2026-05-23 22:17:51.621458-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312238,2186,2208,1.877,2.3694,0.4924,Moderate,Off Peak,1.5
2026-05-23 00:00:00,2026-05-23 09:05:53.72049-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2126,2243,11.9504,12.3274,0.377,Moderate,AM Peak,11.5
2026-05-23 00:00:00,2026-05-23 09:06:24.446131-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2126,2243,12.1571,12.3274,0.1703,High,AM Peak,12.0
2026-05-23 00:00:00,2026-05-23 09:07:25.862929-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2243,2126,12.3274,12.5029,0.1755,High,AM Peak,12.0
2026-05-23 00:00:00,2026-05-23 09:07:56.42918-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,2184,2115,5.3708,5.8441,0.4733,Moderate,AM Peak,5.0
2026-05-23 00:00:00,2026-05-23 09:07:56.42918-07,6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,2243,2126,12.3274,12.5029,0.1755,High,AM Peak,12.0
