service_date,collection_timestamp,api_vehicle_timestamp,vehicle_id,route_id,trip_id,direction_id,shape_id,latitude,longitude,approx_shape_dist_traveled,nearest_shape_sequence,projection_error_m
2026-05-23 00:00:00,2026-05-23 05:36:38.408517-07,2026-05-23 05:36:17-07,19026,6641,14925994,1,312529,49.26256561279297,-123.08826446533203,4.8151,86,63.851001793356176
2026-05-23 00:00:00,2026-05-23 05:37:08.890758-07,2026-05-23 05:36:47-07,19026,6641,14925994,1,312529,49.2625846862793,-123.08881378173828,4.8151,86,25.955659321004635
2026-05-23 00:00:00,2026-05-23 05:37:39.32528-07,2026-05-23 05:37:26-07,19026,6641,14925994,1,312529,49.26256561279297,-123.09034729003906,4.954,87,51.25121423406437
2026-05-23 00:00:00,2026-05-23 05:38:09.982225-07,2026-05-23 05:37:57-07,19026,6641,14925994,1,312529,49.2625846862793,-123.0947494506836,5.2385,90,16.412793162574157
2026-05-23 00:00:00,2026-05-23 05:38:40.453176-07,2026-05-23 05:38:26-07,19026,6641,14925994,1,312529,49.262901306152344,-123.09770202636719,5.3928,95,51.29329352962953
2026-05-23 00:00:00,2026-05-23 05:39:10.927539-07,2026-05-23 05:38:46-07,19026,6641,14925994,1,312529,49.262901306152344,-123.09781646728516,5.3928,95,59.36630826712805
2026-05-23 00:00:00,2026-05-23 05:39:41.400573-07,2026-05-23 05:39:15-07,19026,6641,14925994,1,312529,49.26286697387695,-123.0988998413086,5.5363,97,6.329857277669978
2026-05-23 00:00:00,2026-05-23 05:40:11.980499-07,2026-05-23 05:39:45-07,19026,6641,14925994,1,312529,49.2629508972168,-123.10089874267578,5.675,101,4.833231758838698
2026-05-23 00:00:00,2026-05-23 05:40:42.476282-07,2026-05-23 05:40:27-07,19026,6641,14925994,1,312529,49.263084411621094,-123.10548400878906,5.9663,104,44.07518924766885
2026-05-23 00:00:00,2026-05-23 05:41:12.968785-07,2026-05-23 05:40:57-07,19026,6641,14925994,1,312529,49.26316833496094,-123.10916900634766,6.3015,108,23.480661374325244
2026-05-23 00:00:00,2026-05-23 05:41:43.459669-07,2026-05-23 05:41:26-07,19026,6641,14925994,1,312529,49.26323318481445,-123.11199951171875,6.5496,110,65.0321134434013
