shape_id,shape_points,first_sequence,last_sequence,min_shape_distance,max_shape_distance,shape_length_km
313037,221,1,221,0.0,22.0032,22.0
312369,344,1,344,0.0,21.9997,22.0
312373,343,1,343,0.0,22.0036,22.0
318047,221,1,221,0.0,22.0032,22.0
313063,338,1,338,0.0,21.9176,21.92
312374,342,1,342,0.0,21.9195,21.92
318074,338,1,338,0.0,21.9176,21.92
317362,343,1,343,0.0,21.9157,21.92
312370,343,1,343,0.0,21.9157,21.92
318541,343,1,343,0.0,21.9157,21.92
318376,486,1,486,0.0,21.9019,21.9
313366,486,1,486,0.0,21.9019,21.9
318062,235,1,235,0.0,21.8966,21.9
313052,235,1,235,0.0,21.8966,21.9
312388,347,1,347,0.0,21.8868,21.89
313114,301,1,301,0.0,21.8867,21.89
318120,301,1,301,0.0,21.8867,21.89
318544,347,1,347,0.0,21.8868,21.89
317383,347,1,347,0.0,21.8868,21.89
317662,458,1,458,0.0,21.821,21.82
312659,458,1,458,0.0,21.821,21.82
317885,330,1,330,0.0,21.8232,21.82
312885,330,1,330,0.0,21.8232,21.82
317871,406,1,406,0.0,21.7746,21.77
312870,406,1,406,0.0,21.7746,21.77
312389,349,1,349,0.0,21.7613,21.76
318018,249,1,249,0.0,21.7448,21.74
314721,249,1,249,0.0,21.7448,21.74
313089,243,1,243,0.0,21.5814,21.58
313418,359,1,359,0.0,21.5786,21.58
318100,243,1,243,0.0,21.5814,21.58
318431,359,1,359,0.0,21.5786,21.58
312952,312,1,312,0.0,21.5385,21.54
317952,312,1,312,0.0,21.5385,21.54
318105,256,1,256,0.0,21.504,21.5
313095,256,1,256,0.0,21.504,21.5
318137,275,1,275,0.0,21.4819,21.48
313126,275,1,275,0.0,21.4819,21.48
313113,302,1,302,0.0,21.4653,21.47
318121,302,1,302,0.0,21.4653,21.47
318076,282,1,282,0.0,21.4176,21.42
313065,282,1,282,0.0,21.4176,21.42
318019,243,1,243,0.0,21.3473,21.35
313009,243,1,243,0.0,21.3473,21.35
313105,279,1,279,0.0,21.3427,21.34
318113,279,1,279,0.0,21.3427,21.34
313200,340,1,340,0.0,21.3235,21.32
318209,340,1,340,0.0,21.3235,21.32
313036,228,1,228,0.0,21.223,21.22
318046,228,1,228,0.0,21.223,21.22
313010,249,1,249,0.0,21.2113,21.21
318022,249,1,249,0.0,21.2113,21.21
313180,346,1,346,0.0,21.146,21.15
318190,346,1,346,0.0,21.146,21.15
312498,357,1,357,0.0,21.1273,21.13
317500,357,1,357,0.0,21.1273,21.13
318335,260,1,260,0.0,21.0393,21.04
313324,260,1,260,0.0,21.0393,21.04
312749,388,1,388,0.0,21.0427,21.04
317751,388,1,388,0.0,21.0427,21.04
312905,233,1,233,0.0,21.0302,21.03
317903,233,1,233,0.0,21.0302,21.03
312746,414,1,414,0.0,20.9677,20.97
317743,414,1,414,0.0,20.9677,20.97
317905,228,1,228,0.0,20.8697,20.87
312903,228,1,228,0.0,20.8697,20.87
313008,183,1,183,0.0,20.8535,20.85
318016,183,1,183,0.0,20.8535,20.85
318099,219,1,219,0.0,20.793,20.79
313090,219,1,219,0.0,20.793,20.79
318194,331,1,331,0.0,20.6518,20.65
313064,256,1,256,0.0,20.6538,20.65
313184,331,1,331,0.0,20.6518,20.65
318075,256,1,256,0.0,20.6538,20.65
318017,180,1,180,0.0,20.6388,20.64
313007,180,1,180,0.0,20.6388,20.64
312385,325,1,325,0.0,20.6162,20.62
312387,325,1,325,0.0,20.6162,20.62
317386,325,1,325,0.0,20.6162,20.62
317384,325,1,325,0.0,20.6162,20.62
318073,293,1,293,0.0,20.5645,20.56
313062,293,1,293,0.0,20.5645,20.56
317987,219,1,219,0.0,20.5642,20.56
314718,219,1,219,0.0,20.5642,20.56
312365,322,1,322,0.0,20.523,20.52
313257,327,1,327,0.0,20.5159,20.52
313258,327,1,327,0.0,20.5159,20.52
318276,327,1,327,0.0,20.5159,20.52
317367,322,1,322,0.0,20.523,20.52
317365,319,1,319,0.0,20.523,20.52
312367,319,1,319,0.0,20.523,20.52
318277,327,1,327,0.0,20.5159,20.52
312386,327,1,327,0.0,20.4906,20.49
317385,327,1,327,0.0,20.4906,20.49
317387,327,1,327,0.0,20.4906,20.49
312384,327,1,327,0.0,20.4906,20.49
317366,318,1,318,0.0,20.439,20.44
317364,318,1,318,0.0,20.439,20.44
312368,318,1,318,0.0,20.439,20.44
312366,318,1,318,0.0,20.439,20.44
317659,432,1,432,0.0,20.4248,20.42
312662,432,1,432,0.0,20.4248,20.42
318112,279,1,279,0.0,20.387,20.39
313106,279,1,279,0.0,20.387,20.39
312705,457,1,457,0.0,20.3642,20.36
317704,457,1,457,0.0,20.3642,20.36
318180,228,1,228,0.0,20.326,20.33
313172,228,1,228,0.0,20.326,20.33
312747,385,1,385,0.0,20.2076,20.21
317742,385,1,385,0.0,20.2076,20.21
318024,210,1,210,0.0,20.1689,20.17
313013,210,1,210,0.0,20.1689,20.17
317663,418,1,418,0.0,20.1524,20.15
312665,418,1,418,0.0,20.1524,20.15
317863,424,1,424,0.0,20.132,20.13
312867,424,1,424,0.0,20.132,20.13
317701,438,1,438,0.0,20.0965,20.1
312700,438,1,438,0.0,20.0965,20.1
317706,428,1,428,0.0,19.9166,19.92
313322,318,1,318,0.0,19.9245,19.92
312707,428,1,428,0.0,19.9166,19.92
318332,318,1,318,0.0,19.9245,19.92
317459,315,1,315,0.0,19.9014,19.9
312453,315,1,315,0.0,19.9014,19.9
318118,273,1,273,0.0,19.8575,19.86
313116,273,1,273,0.0,19.8575,19.86
318331,317,1,317,0.0,19.8415,19.84
313323,317,1,317,0.0,19.8415,19.84
313014,203,1,203,0.0,19.7669,19.77
318023,203,1,203,0.0,19.7669,19.77
312888,383,1,383,0.0,19.7615,19.76
317887,383,1,383,0.0,19.7615,19.76
312625,436,1,436,0.0,19.7506,19.75
