route_id,route_short_name,route_long_name,route_type,direction_id,shape_id,route_segment_km,bunching_events,severe_events,high_events,moderate_events,avg_gap_km,median_gap_km,closest_gap_km,vehicles_involved,active_timestamps
6624,019,Kingsway,Regular Bus,0,312403,9.0,24,4,12,8,0.212,0.177,0.0,5,24
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,10.0,24,0,17,7,0.224,0.176,0.172,6,24
6705,321,King George Blvd,Regular Bus,0,312945,15.5,24,0,12,12,0.279,0.297,0.102,7,24
37810,R4,41st Avenue,RapidBus,1,313453,9.5,24,2,11,11,0.239,0.225,0.056,9,23
37810,R4,41st Avenue,RapidBus,1,313453,17.0,24,6,5,13,0.245,0.296,0.03,10,23
6636,049,49th Avenue,Regular Bus,0,312498,17.5,24,4,4,16,0.256,0.314,0.059,5,23
6624,019,Kingsway,Regular Bus,0,312403,9.5,24,4,9,11,0.247,0.215,0.0,4,24
6636,049,49th Avenue,Regular Bus,0,312498,15.0,24,2,12,10,0.253,0.203,0.099,6,24
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,12.5,24,9,11,4,0.149,0.149,0.0,3,19
6624,019,Kingsway,Regular Bus,0,312403,2.5,24,5,10,9,0.215,0.2,0.046,3,24
6705,321,King George Blvd,Regular Bus,1,312952,6.5,23,0,4,19,0.336,0.321,0.117,5,23
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,7.0,23,1,12,10,0.233,0.205,0.051,4,23
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,12.0,23,8,13,2,0.144,0.109,0.052,3,20
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,3.0,23,10,8,5,0.183,0.192,0.048,4,20
6667,160,Port Coquitlam Station/Kootenay Loop,Express / Regional,1,312669,3.5,23,4,4,15,0.3,0.332,0.05,4,23
6627,025,King Edward,Regular Bus,1,312455,6.5,23,15,5,3,0.126,0.088,0.014,4,23
6625,020,Victoria,Regular Bus,1,312428,10.0,23,8,5,10,0.232,0.189,0.012,2,23
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,14.0,22,6,9,7,0.208,0.211,0.0,5,16
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,15.5,22,6,10,6,0.178,0.14,0.0,4,19
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,14.0,22,11,0,11,0.221,0.202,0.008,5,21
6624,019,Kingsway,Regular Bus,0,312403,5.5,22,0,20,2,0.186,0.187,0.104,4,22
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,9.0,22,4,10,8,0.202,0.139,0.011,5,20
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,17.0,22,5,10,7,0.209,0.205,0.059,6,19
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,9.5,22,0,16,6,0.217,0.174,0.163,4,20
37810,R4,41st Avenue,RapidBus,0,313452,16.5,22,5,4,13,0.285,0.362,0.0,10,22
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,12.0,22,6,8,8,0.211,0.203,0.011,6,21
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,1.5,22,0,7,15,0.322,0.375,0.108,6,20
6728,410,Brighouse Station/22nd St Station,Regular Bus,0,313126,1.5,22,1,8,13,0.283,0.267,0.038,5,21
37810,R4,41st Avenue,RapidBus,1,313453,2.0,22,3,7,12,0.264,0.302,0.04,8,21
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,6.5,22,0,8,14,0.301,0.339,0.113,6,22
37810,R4,41st Avenue,RapidBus,1,313453,4.5,21,3,11,7,0.205,0.185,0.006,9,20
6641,099,Broadway B-Line,B-Line,0,312527,7.5,21,0,6,15,0.341,0.344,0.171,8,21
6641,099,Broadway B-Line,B-Line,0,312527,12.5,21,11,6,4,0.152,0.083,0.055,10,21
6627,025,King Edward,Regular Bus,0,312450,17.5,21,7,2,12,0.258,0.35,0.052,2,21
6641,099,Broadway B-Line,B-Line,0,312527,6.0,21,0,8,13,0.267,0.261,0.122,8,21
6624,019,Kingsway,Regular Bus,1,312413,9.5,21,2,5,14,0.271,0.278,0.065,6,21
6641,099,Broadway B-Line,B-Line,1,312530,7.5,21,1,9,11,0.253,0.261,0.059,5,21
6687,250,Horseshoe Bay/Dundarave/Vancouver,Express / Regional,1,312849,8.0,20,1,6,13,0.276,0.286,0.098,3,20
6641,099,Broadway B-Line,B-Line,1,312530,4.0,20,0,12,8,0.276,0.178,0.14,5,20
6641,099,Broadway B-Line,B-Line,0,312527,4.5,20,2,5,13,0.278,0.251,0.051,6,20
6624,019,Kingsway,Regular Bus,1,312413,13.0,20,1,6,13,0.259,0.266,0.0,6,18
6624,019,Kingsway,Regular Bus,1,312413,5.5,20,4,3,13,0.259,0.302,0.06,5,20
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,9.0,20,3,6,11,0.259,0.276,0.054,4,17
6636,049,49th Avenue,Regular Bus,0,312498,14.0,20,4,4,12,0.277,0.295,0.044,5,20
6728,410,Brighouse Station/22nd St Station,Regular Bus,1,313131,19.0,20,2,12,6,0.236,0.208,0.057,4,20
6624,019,Kingsway,Regular Bus,1,312413,8.0,20,3,6,11,0.285,0.277,0.06,7,20
6624,019,Kingsway,Regular Bus,1,312413,2.0,20,4,2,14,0.309,0.409,0.009,4,20
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,9.0,20,3,7,10,0.281,0.284,0.0,6,20
6728,410,Brighouse Station/22nd St Station,Regular Bus,1,313131,20.0,20,3,6,11,0.252,0.259,0.037,5,20
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,9.0,19,3,7,9,0.257,0.249,0.0,4,14
6619,009,Broadway,Regular Bus,1,312305,8.0,19,1,7,11,0.273,0.301,0.0,4,19
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,14.0,19,1,1,17,0.37,0.423,0.0,7,19
6728,410,Brighouse Station/22nd St Station,Regular Bus,0,313126,3.0,18,1,6,11,0.26,0.272,0.014,4,18
6728,410,Brighouse Station/22nd St Station,Regular Bus,0,313126,17.5,18,8,1,9,0.231,0.267,0.0,5,18
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,11.5,18,3,7,8,0.225,0.245,0.05,4,13
6728,410,Brighouse Station/22nd St Station,Regular Bus,0,313126,19.0,18,3,2,13,0.284,0.299,0.019,3,18
6624,019,Kingsway,Regular Bus,0,312403,5.0,18,1,11,6,0.206,0.183,0.089,5,18
37810,R4,41st Avenue,RapidBus,1,313453,6.0,18,0,5,13,0.325,0.333,0.102,9,18
6687,250,Horseshoe Bay/Dundarave/Vancouver,Express / Regional,1,312849,7.0,18,3,9,6,0.184,0.136,0.051,6,18
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,5.5,18,0,6,12,0.285,0.342,0.171,3,16
6728,410,Brighouse Station/22nd St Station,Regular Bus,0,313126,2.0,18,2,2,14,0.359,0.383,0.039,4,16
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,13.5,18,0,9,9,0.281,0.243,0.127,7,17
6624,019,Kingsway,Regular Bus,0,312403,10.0,18,2,5,11,0.258,0.259,0.032,4,18
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,14.0,18,0,5,13,0.317,0.34,0.124,5,17
37810,R4,41st Avenue,RapidBus,0,313452,14.0,18,5,4,9,0.226,0.252,0.0,9,18
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,11.0,18,2,7,9,0.258,0.266,0.032,4,15
37810,R4,41st Avenue,RapidBus,0,313452,13.5,18,5,3,10,0.258,0.263,0.052,9,18
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,7.0,18,3,10,5,0.216,0.201,0.069,3,14
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,13.0,18,4,7,7,0.182,0.16,0.0,3,14
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,7.5,18,3,6,9,0.244,0.24,0.048,2,18
6625,020,Victoria,Regular Bus,1,312428,8.0,18,2,7,9,0.267,0.261,0.028,3,18
6705,321,King George Blvd,Regular Bus,0,312945,15.0,17,7,2,8,0.216,0.242,0.01,5,17
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,10.5,17,6,5,6,0.207,0.147,0.055,2,13
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,8.5,17,6,5,6,0.201,0.185,0.015,4,16
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,8.5,17,2,4,11,0.314,0.345,0.097,3,17
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,6.5,17,0,8,9,0.269,0.345,0.17,5,15
6624,019,Kingsway,Regular Bus,1,312413,13.5,17,0,5,12,0.289,0.322,0.158,5,16
6627,025,King Edward,Regular Bus,1,312455,18.0,17,3,9,5,0.223,0.152,0.054,4,17
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,17.0,17,5,9,3,0.167,0.174,0.053,4,14
6624,019,Kingsway,Regular Bus,0,312403,6.0,17,1,4,12,0.311,0.37,0.021,4,17
37810,R4,41st Avenue,RapidBus,1,313453,11.0,17,3,8,6,0.263,0.242,0.074,8,17
6641,099,Broadway B-Line,B-Line,0,312527,8.5,17,1,5,11,0.274,0.344,0.0,10,17
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,15.0,17,0,9,8,0.267,0.192,0.143,6,17
6728,410,Brighouse Station/22nd St Station,Regular Bus,1,313131,19.5,17,1,7,9,0.268,0.292,0.038,5,17
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,6.0,17,1,1,15,0.335,0.349,0.1,3,17
6624,019,Kingsway,Regular Bus,1,312413,6.5,17,4,6,7,0.208,0.166,0.008,4,17
6641,099,Broadway B-Line,B-Line,1,312530,2.0,17,0,5,12,0.307,0.296,0.142,5,17
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,9.0,17,7,8,2,0.135,0.15,0.011,3,14
6687,250,Horseshoe Bay/Dundarave/Vancouver,Express / Regional,1,312849,8.5,16,0,4,12,0.309,0.285,0.133,3,16
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,8.5,16,5,8,3,0.175,0.149,0.044,3,12
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,10.5,16,1,7,8,0.264,0.288,0.086,3,16
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,11.0,16,0,9,7,0.274,0.223,0.101,6,16
6624,019,Kingsway,Regular Bus,0,312403,8.0,16,8,5,3,0.148,0.128,0.01,5,16
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,14.5,16,4,3,9,0.257,0.325,0.001,4,16
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,10.5,16,0,5,11,0.321,0.332,0.163,3,12
6636,049,49th Avenue,Regular Bus,0,312498,16.5,16,2,6,8,0.249,0.222,0.078,7,15
6728,410,Brighouse Station/22nd St Station,Regular Bus,1,313131,20.5,16,3,7,6,0.186,0.156,0.001,5,16
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,14.5,16,1,7,8,0.263,0.246,0.07,7,16
6624,019,Kingsway,Regular Bus,0,312403,3.0,16,4,5,7,0.224,0.242,0.0,3,16
6641,099,Broadway B-Line,B-Line,1,312530,4.5,16,0,4,12,0.317,0.344,0.171,6,16
6641,099,Broadway B-Line,B-Line,0,312527,12.0,16,1,2,13,0.331,0.35,0.079,10,16
37810,R4,41st Avenue,RapidBus,0,313452,1.5,16,2,7,7,0.254,0.191,0.022,10,16
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,5.0,16,3,10,3,0.189,0.19,0.094,2,13
6624,019,Kingsway,Regular Bus,0,312403,3.5,16,1,6,9,0.276,0.293,0.025,6,16
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,12.0,16,1,5,10,0.275,0.277,0.054,3,16
6624,019,Kingsway,Regular Bus,1,312413,5.0,16,7,5,4,0.167,0.116,0.006,5,16
6624,019,Kingsway,Regular Bus,1,312414,3.5,16,7,4,5,0.19,0.154,0.046,4,16
6687,250,Horseshoe Bay/Dundarave/Vancouver,Express / Regional,0,312836,8.0,16,0,7,9,0.302,0.289,0.158,3,16
37810,R4,41st Avenue,RapidBus,1,313453,4.0,16,3,2,11,0.292,0.291,0.1,8,16
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,7.5,16,0,9,7,0.249,0.175,0.172,4,12
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,8.5,16,1,10,5,0.211,0.182,0.067,2,12
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,17.5,15,0,7,8,0.294,0.308,0.108,5,15
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,10.0,15,2,11,2,0.185,0.159,0.048,3,11
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,7.5,15,3,10,2,0.173,0.15,0.011,3,12
37810,R4,41st Avenue,RapidBus,1,313453,11.5,15,7,1,7,0.227,0.109,0.054,9,14
6641,099,Broadway B-Line,B-Line,0,312527,5.5,15,1,5,9,0.283,0.28,0.085,6,15
37810,R4,41st Avenue,RapidBus,0,313452,8.5,15,0,4,11,0.33,0.327,0.114,8,15
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,5.5,15,3,2,10,0.28,0.299,0.066,4,13
37810,R4,41st Avenue,RapidBus,0,313452,11.0,15,0,2,13,0.357,0.38,0.196,11,15
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,13.0,15,4,3,8,0.243,0.293,0.048,3,15
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,6.0,15,2,4,9,0.306,0.377,0.054,4,13
6619,009,Broadway,Regular Bus,0,312285,4.5,15,1,11,3,0.199,0.189,0.0,3,15
6624,019,Kingsway,Regular Bus,0,312403,2.0,15,2,4,9,0.266,0.289,0.051,3,15
37810,R4,41st Avenue,RapidBus,1,313453,7.0,15,2,4,9,0.297,0.388,0.002,7,15
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,17.5,15,4,4,7,0.259,0.234,0.035,5,15
6667,160,Port Coquitlam Station/Kootenay Loop,Express / Regional,0,312666,21.5,15,2,1,12,0.341,0.399,0.0,4,15
6687,250,Horseshoe Bay/Dundarave/Vancouver,Express / Regional,0,312836,3.0,15,1,7,7,0.259,0.237,0.088,4,15
37810,R4,41st Avenue,RapidBus,1,313453,3.0,15,1,6,8,0.255,0.304,0.011,9,15
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,5.5,15,0,3,12,0.376,0.425,0.139,4,13
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,1.5,15,0,11,4,0.24,0.195,0.19,4,15
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,15.0,15,0,7,8,0.308,0.351,0.153,6,14
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312271,8.0,15,0,11,4,0.17,0.1,0.1,1,15
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,7.0,15,0,9,6,0.268,0.235,0.105,3,15
6636,049,49th Avenue,Regular Bus,0,312498,18.5,15,2,5,8,0.251,0.26,0.068,5,15
6627,025,King Edward,Regular Bus,0,312450,14.5,15,1,3,11,0.286,0.282,0.09,2,13
6617,007,Nanaimo Station/Dunbar,Regular Bus,1,312273,9.5,14,0,9,5,0.26,0.249,0.163,3,14
6624,019,Kingsway,Regular Bus,0,312403,0.5,14,5,1,8,0.267,0.311,0.034,3,14
37810,R4,41st Avenue,RapidBus,1,313453,5.5,14,1,3,10,0.311,0.313,0.088,7,13
6617,007,Nanaimo Station/Dunbar,Regular Bus,0,312261,1.0,14,3,3,8,0.231,0.274,0.052,2,14
6625,020,Victoria,Regular Bus,1,312428,10.5,14,5,7,2,0.161,0.125,0.0,3,14
6619,009,Broadway,Regular Bus,0,312285,6.0,14,0,4,10,0.309,0.296,0.195,2,14
6627,025,King Edward,Regular Bus,0,312450,21.5,14,5,5,4,0.192,0.187,0.057,3,14
6728,410,Brighouse Station/22nd St Station,Regular Bus,1,313131,21.0,14,3,9,2,0.127,0.127,0.0,4,14
37810,R4,41st Avenue,RapidBus,1,313453,10.5,14,0,9,5,0.277,0.205,0.205,8,13
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,17.5,14,0,8,6,0.246,0.21,0.1,5,14
6625,020,Victoria,Regular Bus,1,312428,6.5,14,2,3,9,0.302,0.386,0.037,3,14
6622,016,29th Avenue Station/Arbutus,Regular Bus,1,312384,2.0,14,4,7,3,0.181,0.151,0.018,4,13
6614,004,Powell/UBC Exchange,Regular Bus,1,312245,9.5,14,0,8,6,0.248,0.176,0.174,3,12
6636,049,49th Avenue,Regular Bus,0,312498,15.5,14,1,7,6,0.282,0.246,0.097,5,14
16718,014,Hastings/UBC Exchange,Regular Bus,0,312332,8.0,13,0,11,2,0.204,0.173,0.141,4,11
