route_id,route_short_name,route_long_name,direction_id,shape_id,scheduled_trip_count,shape_points,shape_length_km,eligible_days
30039,173,Coquitlam Central Station/Cedar,0,312681,98,221,11.34,5
30039,173,Coquitlam Central Station/Cedar,0,317683,98,221,11.34,5
30039,173,Coquitlam Central Station/Cedar,0,312682,5,129,7.19,5
30039,173,Coquitlam Central Station/Cedar,0,317682,5,129,7.19,5
30039,173,Coquitlam Central Station/Cedar,1,312684,105,266,12.1,5
30039,173,Coquitlam Central Station/Cedar,1,317684,105,266,12.1,5
30040,174,Coquitlam Central Station/Rocklin,0,312685,98,244,12.61,5
30040,174,Coquitlam Central Station/Rocklin,0,317686,98,244,12.61,5
30040,174,Coquitlam Central Station/Rocklin,0,312686,7,151,8.46,5
30040,174,Coquitlam Central Station/Rocklin,0,317685,7,151,8.46,5
30040,174,Coquitlam Central Station/Rocklin,1,317688,104,291,13.18,5
30040,174,Coquitlam Central Station/Rocklin,1,312687,103,291,13.18,5
30043,180,Moody Centre Station/Lougheed Station,0,312696,153,206,9.79,5
30043,180,Moody Centre Station/Lougheed Station,0,317696,153,206,9.79,5
30043,180,Moody Centre Station/Lougheed Station,1,317698,151,198,9.55,5
30043,180,Moody Centre Station/Lougheed Station,1,312698,151,198,9.55,5
30043,180,Moody Centre Station/Lougheed Station,1,317697,1,179,7.93,5
30043,180,Moody Centre Station/Lougheed Station,1,312699,1,179,7.93,5
30044,181,Moody Centre Station/Ioco,0,312701,77,174,7.4,5
30044,181,Moody Centre Station/Ioco,0,318506,52,312,14.37,5
30044,181,Moody Centre Station/Ioco,0,317700,25,174,7.4,5
30044,181,Moody Centre Station/Ioco,0,312700,7,438,20.1,5
30044,181,Moody Centre Station/Ioco,0,317701,7,438,20.1,5
30044,181,Moody Centre Station/Ioco,1,312703,78,158,7.16,5
30044,181,Moody Centre Station/Ioco,1,317703,56,294,14.32,5
30044,181,Moody Centre Station/Ioco,1,317702,28,158,7.16,5
30044,181,Moody Centre Station/Ioco,1,312702,4,294,14.32,5
30045,182,Moody Centre Station/Belcarra,0,312705,50,457,20.36,5
30045,182,Moody Centre Station/Belcarra,0,317704,50,457,20.36,5
30045,182,Moody Centre Station/Belcarra,0,317705,29,415,18.41,5
30045,182,Moody Centre Station/Belcarra,0,312704,29,415,18.41,5
30045,182,Moody Centre Station/Belcarra,1,312706,46,386,17.96,5
30045,182,Moody Centre Station/Belcarra,1,317707,46,386,17.96,5
30045,182,Moody Centre Station/Belcarra,1,312707,35,428,19.92,5
30045,182,Moody Centre Station/Belcarra,1,317706,35,428,19.92,5
30046,183,Moody Centre Station/Coquitlam Central Station,0,317709,141,340,13.38,5
30046,183,Moody Centre Station/Coquitlam Central Station,0,312708,140,340,13.38,5
30046,183,Moody Centre Station/Coquitlam Central Station,1,317710,138,361,13.28,5
30046,183,Moody Centre Station/Coquitlam Central Station,1,312710,137,361,13.28,5
30047,184,Moody Centre Station/Noons Creek,0,317711,110,203,6.21,5
30047,184,Moody Centre Station/Noons Creek,0,312711,110,203,6.21,5
30047,184,Moody Centre Station/Noons Creek,1,317712,115,196,5.81,5
30047,184,Moody Centre Station/Noons Creek,1,312712,115,196,5.81,5
30048,185,Coquitlam Central Station/Lansdowne,0,312713,115,154,4.49,5
30048,185,Coquitlam Central Station/Lansdowne,0,317713,115,154,4.49,5
30048,185,Coquitlam Central Station/Lansdowne,1,312714,110,154,4.41,5
30048,185,Coquitlam Central Station/Lansdowne,1,317714,110,154,4.41,5
30049,186,Coquitlam Central Station/Hampton Park,0,317715,128,178,6.57,5
30049,186,Coquitlam Central Station/Hampton Park,0,312715,126,178,6.57,5
30049,186,Coquitlam Central Station/Hampton Park,1,317716,126,161,6.46,5
30049,186,Coquitlam Central Station/Hampton Park,1,312716,126,161,6.46,5
30050,187,Coquitlam Central Station/Parkway,0,312717,120,177,6.48,5
30050,187,Coquitlam Central Station/Parkway,0,317717,120,177,6.48,5
30050,187,Coquitlam Central Station/Parkway,1,312718,120,170,6.49,5
30050,187,Coquitlam Central Station/Parkway,1,317718,120,170,6.49,5
30051,189,Coquitlam Central Station/Lafarge Park,0,317721,90,108,4.4,5
30051,189,Coquitlam Central Station/Lafarge Park,0,312721,90,108,4.4,5
30051,189,Coquitlam Central Station/Lafarge Park,1,312722,90,92,3.91,5
30051,189,Coquitlam Central Station/Lafarge Park,1,317722,90,92,3.91,5
30055,023,Pacific,0,318495,288,126,5.57,5
30055,023,Pacific,0,312444,259,125,5.56,5
30055,023,Pacific,0,318496,247,64,2.94,5
30055,023,Pacific,1,318497,288,125,5.9,5
30055,023,Pacific,1,312445,259,123,5.85,5
30055,023,Pacific,1,318498,247,66,3.35,5
30584,191,Coquitlam Central Station/Princeton,0,317723,101,118,7.17,5
30584,191,Coquitlam Central Station/Princeton,0,312723,101,118,7.17,5
30584,191,Coquitlam Central Station/Princeton,1,317724,101,132,7.39,5
30584,191,Coquitlam Central Station/Princeton,1,312724,101,132,7.39,5
31816,360,Ocean Park/Peace Arch Hospital,0,318037,53,150,12.82,5
31816,360,Ocean Park/Peace Arch Hospital,0,313028,53,150,12.82,5
31816,360,Ocean Park/Peace Arch Hospital,0,318038,1,21,1.52,5
31816,360,Ocean Park/Peace Arch Hospital,0,313027,1,21,1.52,5
31816,360,Ocean Park/Peace Arch Hospital,1,313029,52,131,11.6,5
31816,360,Ocean Park/Peace Arch Hospital,1,318039,52,131,11.6,5
31817,361,Ocean Park/White Rock Centre,0,313030,54,129,10.68,5
31817,361,Ocean Park/White Rock Centre,0,318040,54,129,10.68,5
31817,361,Ocean Park/White Rock Centre,1,313031,53,180,12.16,5
31817,361,Ocean Park/White Rock Centre,1,318041,53,180,12.16,5
31818,362,Seaside/White Rock Centre,0,318042,124,50,4.18,5
31818,362,Seaside/White Rock Centre,0,313032,92,50,4.18,5
31818,362,Seaside/White Rock Centre,1,318043,123,76,3.54,5
31818,362,Seaside/White Rock Centre,1,313033,91,76,3.54,5
31819,363,Southpoint/Peace Arch Hospital,0,313034,101,184,11.31,5
31819,363,Southpoint/Peace Arch Hospital,0,318044,101,184,11.31,5
31819,363,Southpoint/Peace Arch Hospital,1,313035,101,189,12.88,5
31819,363,Southpoint/Peace Arch Hospital,1,318045,101,189,12.88,5
31821,733,Rock Ridge/Haney Place,0,313287,62,86,6.05,5
31821,733,Rock Ridge/Haney Place,0,318297,62,86,6.05,5
31821,733,Rock Ridge/Haney Place,0,318298,6,119,7.8,5
