service_date,route_id,route_short_name,route_long_name,route_type,hour_of_day,peak_period,bunching_events,severe_events,high_events,moderate_events,avg_gap_km,median_gap_km
2026-05-23 00:00:00,6636,049,49th Avenue,Regular Bus,11,Off Peak,3,0,1,2,0.271,0.274
2026-05-23 00:00:00,6636,049,49th Avenue,Regular Bus,13,Off Peak,1,0,0,1,0.468,0.468
2026-05-23 00:00:00,6636,049,49th Avenue,Regular Bus,15,PM Peak,4,0,0,4,0.426,0.415
2026-05-23 00:00:00,6636,049,49th Avenue,Regular Bus,16,PM Peak,47,12,11,24,0.25,0.298
2026-05-23 00:00:00,6636,049,49th Avenue,Regular Bus,17,PM Peak,99,23,41,35,0.213,0.217
2026-05-23 00:00:00,6636,049,49th Avenue,Regular Bus,18,PM Peak,90,11,26,53,0.263,0.278
2026-05-23 00:00:00,6636,049,49th Avenue,Regular Bus,19,Off Peak,75,6,14,55,0.302,0.328
2026-05-23 00:00:00,6641,099,Broadway B-Line,B-Line,9,AM Peak,24,1,6,17,0.289,0.313
2026-05-23 00:00:00,6641,099,Broadway B-Line,B-Line,10,Off Peak,35,3,18,14,0.237,0.212
2026-05-23 00:00:00,6641,099,Broadway B-Line,B-Line,11,Off Peak,56,11,24,21,0.218,0.179
2026-05-23 00:00:00,6641,099,Broadway B-Line,B-Line,12,Off Peak,84,3,31,50,0.297,0.293
2026-05-23 00:00:00,6641,099,Broadway B-Line,B-Line,13,Off Peak,150,11,49,90,0.29,0.311
2026-05-23 00:00:00,6641,099,Broadway B-Line,B-Line,14,Off Peak,114,19,31,64,0.272,0.301
2026-05-23 00:00:00,6641,099,Broadway B-Line,B-Line,15,PM Peak,231,15,93,123,0.258,0.256
2026-05-23 00:00:00,6641,099,Broadway B-Line,B-Line,16,PM Peak,164,30,48,86,0.251,0.279
2026-05-23 00:00:00,6641,099,Broadway B-Line,B-Line,17,PM Peak,84,12,27,45,0.265,0.279
2026-05-23 00:00:00,6641,099,Broadway B-Line,B-Line,18,PM Peak,31,5,9,17,0.246,0.25
2026-05-23 00:00:00,6641,099,Broadway B-Line,B-Line,19,Off Peak,6,0,1,5,0.373,0.406
2026-05-23 00:00:00,6641,099,Broadway B-Line,B-Line,20,Off Peak,12,0,1,11,0.396,0.4
2026-05-23 00:00:00,6641,099,Broadway B-Line,B-Line,22,Off Peak,9,0,1,8,0.366,0.373
2026-05-23 00:00:00,6642,100,Marine Drive,Regular Bus,12,Off Peak,11,0,0,11,0.383,0.38
2026-05-23 00:00:00,6642,100,Marine Drive,Regular Bus,15,PM Peak,34,8,15,11,0.196,0.197
2026-05-23 00:00:00,6642,100,Marine Drive,Regular Bus,16,PM Peak,91,16,22,53,0.267,0.277
2026-05-23 00:00:00,6642,100,Marine Drive,Regular Bus,17,PM Peak,9,1,2,6,0.292,0.325
2026-05-23 00:00:00,6642,100,Marine Drive,Regular Bus,18,PM Peak,14,4,3,7,0.208,0.234
2026-05-23 00:00:00,6642,100,Marine Drive,Regular Bus,19,Off Peak,4,1,0,3,0.309,0.366
2026-05-23 00:00:00,6642,100,Marine Drive,Regular Bus,21,Off Peak,7,1,0,6,0.307,0.316
2026-05-23 00:00:00,6667,160,Port Coquitlam Station/Kootenay Loop,Express / Regional,9,AM Peak,3,1,1,1,0.187,0.216
2026-05-23 00:00:00,6667,160,Port Coquitlam Station/Kootenay Loop,Express / Regional,11,Off Peak,18,4,4,10,0.259,0.283
2026-05-23 00:00:00,6667,160,Port Coquitlam Station/Kootenay Loop,Express / Regional,12,Off Peak,1,0,0,1,0.441,0.441
2026-05-23 00:00:00,6667,160,Port Coquitlam Station/Kootenay Loop,Express / Regional,14,Off Peak,6,0,0,6,0.447,0.447
2026-05-23 00:00:00,6667,160,Port Coquitlam Station/Kootenay Loop,Express / Regional,15,PM Peak,4,1,0,3,0.307,0.365
2026-05-23 00:00:00,6667,160,Port Coquitlam Station/Kootenay Loop,Express / Regional,16,PM Peak,13,0,4,9,0.342,0.359
2026-05-23 00:00:00,6667,160,Port Coquitlam Station/Kootenay Loop,Express / Regional,17,PM Peak,51,8,20,23,0.241,0.197
2026-05-23 00:00:00,6667,160,Port Coquitlam Station/Kootenay Loop,Express / Regional,18,PM Peak,7,1,0,6,0.32,0.318
2026-05-23 00:00:00,6667,160,Port Coquitlam Station/Kootenay Loop,Express / Regional,19,Off Peak,16,1,3,12,0.348,0.396
2026-05-23 00:00:00,6687,250,Horseshoe Bay/Dundarave/Vancouver,Express / Regional,10,Off Peak,6,1,3,2,0.197,0.111
2026-05-23 00:00:00,6687,250,Horseshoe Bay/Dundarave/Vancouver,Express / Regional,13,Off Peak,5,0,2,3,0.256,0.321
2026-05-23 00:00:00,6687,250,Horseshoe Bay/Dundarave/Vancouver,Express / Regional,14,Off Peak,22,2,10,10,0.227,0.221
2026-05-23 00:00:00,6687,250,Horseshoe Bay/Dundarave/Vancouver,Express / Regional,15,PM Peak,34,1,6,27,0.334,0.339
2026-05-23 00:00:00,6687,250,Horseshoe Bay/Dundarave/Vancouver,Express / Regional,16,PM Peak,25,3,9,13,0.261,0.255
2026-05-23 00:00:00,6687,250,Horseshoe Bay/Dundarave/Vancouver,Express / Regional,17,PM Peak,9,0,4,5,0.312,0.275
2026-05-23 00:00:00,6687,250,Horseshoe Bay/Dundarave/Vancouver,Express / Regional,18,PM Peak,5,1,1,3,0.298,0.368
2026-05-23 00:00:00,6687,250,Horseshoe Bay/Dundarave/Vancouver,Express / Regional,19,Off Peak,1,0,0,1,0.356,0.356
2026-05-23 00:00:00,6705,321,King George Blvd,Regular Bus,5,Off Peak,12,1,1,10,0.319,0.335
2026-05-23 00:00:00,6705,321,King George Blvd,Regular Bus,6,Off Peak,14,0,5,9,0.301,0.32
2026-05-23 00:00:00,6705,321,King George Blvd,Regular Bus,10,Off Peak,20,6,5,9,0.206,0.244
2026-05-23 00:00:00,6705,321,King George Blvd,Regular Bus,12,Off Peak,35,3,15,17,0.257,0.234
2026-05-23 00:00:00,6705,321,King George Blvd,Regular Bus,13,Off Peak,24,4,8,12,0.288,0.277
2026-05-23 00:00:00,6705,321,King George Blvd,Regular Bus,14,Off Peak,63,22,20,21,0.202,0.17
2026-05-23 00:00:00,6705,321,King George Blvd,Regular Bus,15,PM Peak,6,0,2,4,0.362,0.395
2026-05-23 00:00:00,6705,321,King George Blvd,Regular Bus,16,PM Peak,4,0,0,4,0.476,0.479
2026-05-23 00:00:00,6705,321,King George Blvd,Regular Bus,17,PM Peak,26,8,8,10,0.227,0.216
2026-05-23 00:00:00,6705,321,King George Blvd,Regular Bus,18,PM Peak,14,3,7,4,0.204,0.216
2026-05-23 00:00:00,6705,321,King George Blvd,Regular Bus,19,Off Peak,18,0,7,11,0.303,0.318
2026-05-23 00:00:00,6712,335,Newton Exchange/Surrey Central Station,Regular Bus,9,AM Peak,2,0,0,2,0.345,0.345
2026-05-23 00:00:00,6712,335,Newton Exchange/Surrey Central Station,Regular Bus,11,Off Peak,6,0,3,3,0.217,0.207
2026-05-23 00:00:00,6712,335,Newton Exchange/Surrey Central Station,Regular Bus,12,Off Peak,33,6,8,19,0.256,0.284
2026-05-23 00:00:00,6712,335,Newton Exchange/Surrey Central Station,Regular Bus,13,Off Peak,8,0,3,5,0.286,0.311
2026-05-23 00:00:00,6712,335,Newton Exchange/Surrey Central Station,Regular Bus,15,PM Peak,12,3,2,7,0.219,0.278
2026-05-23 00:00:00,6712,335,Newton Exchange/Surrey Central Station,Regular Bus,17,PM Peak,48,11,12,25,0.252,0.255
2026-05-23 00:00:00,6712,335,Newton Exchange/Surrey Central Station,Regular Bus,18,PM Peak,10,0,3,7,0.353,0.406
2026-05-23 00:00:00,6712,335,Newton Exchange/Surrey Central Station,Regular Bus,19,Off Peak,2,0,1,1,0.328,0.328
2026-05-23 00:00:00,6712,335,Newton Exchange/Surrey Central Station,Regular Bus,20,Off Peak,42,11,15,16,0.203,0.189
2026-05-23 00:00:00,6712,335,Newton Exchange/Surrey Central Station,Regular Bus,21,Off Peak,26,3,6,17,0.288,0.335
2026-05-23 00:00:00,6712,335,Newton Exchange/Surrey Central Station,Regular Bus,23,Off Peak,3,0,0,3,0.451,0.451
2026-05-23 00:00:00,6728,410,Brighouse Station/22nd St Station,Regular Bus,12,Off Peak,4,0,2,2,0.257,0.241
2026-05-23 00:00:00,6728,410,Brighouse Station/22nd St Station,Regular Bus,13,Off Peak,74,12,31,31,0.22,0.215
