route_id,first_seen,last_seen,active_hours,total_records,unique_vehicles
6708,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:18:36.862207+00:00,3,490,6
12940,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,484,7
6643,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,483,4
6676,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,480,6
6647,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,479,9
6698,2026-05-18 00:08:51.018781+00:00,2026-05-18 06:29:55.755593+00:00,2,478,4
6659,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,470,4
40855,2026-05-18 00:08:51.018781+00:00,2026-05-18 11:30:37.922227+00:00,5,468,3
6668,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,462,5
6796,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,453,2
6652,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,450,6
6817,2026-05-18 00:08:51.018781+00:00,2026-05-18 06:46:20.418859+00:00,2,449,5
6663,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:18:06.250871+00:00,3,441,6
30040,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,439,6
8290,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,438,7
6648,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:00:41.610923+00:00,3,427,4
6660,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,427,4
31819,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:11:27.374414+00:00,3,423,3
6628,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:06:51.041395+00:00,3,421,5
34543,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,420,4
6700,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,417,4
30039,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,403,7
6713,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,403,3
6685,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,395,7
6672,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,394,6
6723,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,392,9
30038,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,387,7
6679,2026-05-18 00:08:51.018781+00:00,2026-05-18 06:11:59.932754+00:00,2,386,5
6662,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,375,5
33292,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:17:35.591713+00:00,3,374,7
6702,2026-05-18 00:08:51.018781+00:00,2026-05-18 06:52:29.368536+00:00,2,374,4
22639,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,361,4
17707,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,356,4
11696,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,345,5
6661,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:05:18.836697+00:00,3,342,5
16719,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,338,3
30584,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:18:36.862207+00:00,3,334,3
6644,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,326,2
6837,2026-05-18 06:04:16.434682+00:00,2026-05-18 10:07:52.340468+00:00,4,326,4
6678,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,316,6
46099,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:14:31.476447+00:00,3,312,3
6629,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,304,5
30044,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:39.881250+00:00,3,291,5
6725,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,291,8
6638,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,282,3
6822,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,282,3
6674,2026-05-18 00:08:51.018781+00:00,2026-05-18 06:48:54.161136+00:00,2,272,3
6806,2026-05-18 00:08:51.018781+00:00,2026-05-18 06:52:29.368536+00:00,2,260,4
30045,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,255,4
36799,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:09.059922+00:00,3,253,5
6790,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:17:35.591713+00:00,3,252,3
20667,2026-05-18 00:08:51.018781+00:00,2026-05-18 06:32:29.836982+00:00,2,246,2
39307,2026-05-18 00:08:51.018781+00:00,2026-05-18 08:38:09.836336+00:00,4,245,1
30036,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:20:09.059922+00:00,3,243,1
30049,2026-05-18 00:08:51.018781+00:00,2026-05-18 06:39:09.863314+00:00,2,232,5
6818,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:08:23.298925+00:00,3,220,2
30037,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:11:58.015131+00:00,3,206,6
6688,2026-05-18 00:08:51.018781+00:00,2026-05-18 07:07:21.810630+00:00,3,200,2
6780,2026-05-18 00:08:51.018781+00:00,2026-05-18 06:20:42.713034+00:00,2,199,3
39304,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,188,2
30042,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,188,2
7509,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,188,2
6828,2026-05-18 00:08:51.018781+00:00,2026-05-18 00:58:37.146212+00:00,1,188,2
