vehicle_id,total_records,zero_speed_records,mean_speed,zero_speed_share
9682,94,94,0.0,1.0
9683,120,120,0.0,1.0
9688,242,242,0.0,1.0
9691,245,245,0.0,1.0
9693,94,94,0.0,1.0
9698,231,231,0.0,1.0
9702,244,244,0.0,1.0
9705,94,94,0.0,1.0
9712,230,230,0.0,1.0
9714,245,245,0.0,1.0
9715,94,94,0.0,1.0
9719,244,244,0.0,1.0
9721,94,94,0.0,1.0
9723,244,244,0.0,1.0
9726,236,236,0.0,1.0
9728,246,246,0.0,1.0
9729,159,159,0.0,1.0
9733,92,92,0.0,1.0
9735,226,226,0.0,1.0
9736,136,136,0.0,1.0
9738,182,182,0.0,1.0
9740,220,220,0.0,1.0
9747,83,83,0.0,1.0
9751,94,94,0.0,1.0
9755,94,94,0.0,1.0
9756,94,94,0.0,1.0
9757,93,93,0.0,1.0
9758,91,91,0.0,1.0
9760,83,83,0.0,1.0
9761,80,80,0.0,1.0
9762,94,94,0.0,1.0
9763,94,94,0.0,1.0
9765,139,139,0.0,1.0
9767,243,243,0.0,1.0
9769,245,245,0.0,1.0
9771,94,94,0.0,1.0
9772,94,94,0.0,1.0
9781,94,94,0.0,1.0
9782,245,245,0.0,1.0
9787,180,180,0.0,1.0
9790,94,94,0.0,1.0
9799,245,245,0.0,1.0
