filename,status,size_bytes,row_count,is_empty,is_corrupted,missing_columns,duplicate_count,earliest_timestamp,latest_timestamp,unique_routes
vehicle_positions_18_182317.parquet,OK,35049,813,False,False,,0,2026-05-14T18:23:16.577708+00:00,2026-05-14T18:23:16.577708+00:00,182
vehicle_positions_18_182347.parquet,OK,35123,816,False,False,,0,2026-05-14T18:23:47.338880+00:00,2026-05-14T18:23:47.338880+00:00,182
vehicle_positions_18_182419.parquet,OK,35179,813,False,False,,0,2026-05-14T18:24:18.203020+00:00,2026-05-14T18:24:18.203020+00:00,182
vehicle_positions_18_182449.parquet,OK,35263,816,False,False,,0,2026-05-14T18:24:49.461419+00:00,2026-05-14T18:24:49.461419+00:00,182
vehicle_positions_18_182520.parquet,OK,35185,812,False,False,,0,2026-05-14T18:25:20.215606+00:00,2026-05-14T18:25:20.215606+00:00,181
vehicle_positions_18_182551.parquet,OK,35092,814,False,False,,0,2026-05-14T18:25:51.094927+00:00,2026-05-14T18:25:51.094927+00:00,180
vehicle_positions_18_182622.parquet,OK,35229,817,False,False,,0,2026-05-14T18:26:21.895726+00:00,2026-05-14T18:26:21.895726+00:00,180
vehicle_positions_18_182653.parquet,OK,35172,815,False,False,,0,2026-05-14T18:26:52.725521+00:00,2026-05-14T18:26:52.725521+00:00,180
vehicle_positions_18_182724.parquet,OK,35007,814,False,False,,0,2026-05-14T18:27:23.592361+00:00,2026-05-14T18:27:23.592361+00:00,179
vehicle_positions_18_182754.parquet,OK,35183,814,False,False,,0,2026-05-14T18:27:54.394000+00:00,2026-05-14T18:27:54.394000+00:00,180
vehicle_positions_18_182825.parquet,OK,35043,812,False,False,,0,2026-05-14T18:28:25.245363+00:00,2026-05-14T18:28:25.245363+00:00,180
vehicle_positions_18_182856.parquet,OK,34968,814,False,False,,0,2026-05-14T18:28:55.967595+00:00,2026-05-14T18:28:55.967595+00:00,181
vehicle_positions_18_182927.parquet,OK,34976,816,False,False,,0,2026-05-14T18:29:27.305076+00:00,2026-05-14T18:29:27.305076+00:00,181
